Aonla|Neeraj Kushwaha Maurya
Bareilly|Chhatrapal Singh Gangwar
Pilibhit|Jitin Prasada
Kheri|Utkarsh Verma
Dhaurahra|Anand Bhadauriya
Sitapur|Rakesh Rathore
Unnao|Sakshi Maharaj
Lucknow|Rajnath Singh
Rae Bareli|Rahul Gandhi
Amethi|Kishori Lal Sharma
Sultanpur|Rambhual Nishad
Pratapgarh|S. P. Singh Patel
Farrukhabad|Mukesh Rajput
Kannauj|Akhilesh Yadav
Kanpur|Ramesh Awasthi
Akbarpur|Devendra Singh Bhole
Jhansi|Anurag Sharma
Hamirpur|Ajendra Singh Lodhi
Banda|Krishna Devi Patel
Fatehpur|Naresh Uttam Patel
Phulpur|Praveen Patel
Allahabad|Ujjwal Rewati Raman Singh
Faizabad|Awadhesh Prasad
Ambedkar Nagar|Lalji Verma
Kaiserganj|Karan Bhushan Singh
Shrawasti|Ram Shiromani Verma
Gonda|Kirti Vardhan Singh
Domariyaganj|Jagdambika Pal
Basti|Ram Prasad Chaudhary
Sant Kabir Nagar|Laxmikant Nishad
Maharajganj|Pankaj Chaudhary
Gorakhpur|Ravi Kishan
Kushi Nagar|Vijay Kumar Dubey
Deoria|Shashank Mani
Azamgarh|Dharmendra Yadav
Ghosi|Rajeev Kumar Rai
Salempur|Ramashankar Rajbhar
Ballia|Sanatan Pandey
Jaunpur|Babu Singh Kushwaha
Ghazipur|Afzal Ansari
Chandauli|Bijendra Singh
Varanasi|Narendra Modi
Bhadohi|Vinod Kumar Bind
Mirzapur|Anupriya Patel
Tehri Garhwal|Mala Rajya Laxmi Shah
Garhwal|Anil Baluni
Nainitalâ€“Udhamsingh Nagar|Ajay Bhatt
Haridwar|Trivendra Singh Rawat
Darjeeling|Raju Bista
Raiganj|Kartick Chandra Paul
Balurghat|Sukanta Majumdar
Maldaha Uttar|Khagen Murmu
Maldaha Dakshin|Isha Khan Choudhury
Jangipur|Khalilur Rahaman
Baharampur|Yusuf Pathan
Murshidabad|Abu Taher Khan
Krishnanagar|Mahua Moitra
Barrackpur|Partha Bhowmick
Dum Dum|Saugata Roy
Barasat|Kakoli Ghosh Dastidar
Basirhat|Haji Nurul Islam
Diamond Harbour|Abhishek Banerjee
Jadavpur|Saayoni Ghosh
Kolkata Dakshin|Mala Roy
Kolkata Uttar|Sudip Bandyopadhyay
Howrah|Prasun Banerjee
Uluberia|Sajda Ahmed
Sreerampur|Kalyan Banerjee
Hooghly|Rachana Banerjee
Tamluk|Abhijit Gangopadhyay
Kanthi|Soumendu Adhikari
Ghatal|Deepak Adhikari
Medinipur|June Malia
Purulia|Jyotirmay Singh Mahato
Bankura|Arup Chakraborty
Bardhamanâ€“Durgapur|Kirti Azad
Asansol|Shatrughan Sinha
Birbhum|Satabdi Roy
